Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf
11/10/2021,45,DC,1373225,62700,522200,788325,0,194577,225210,237755,1572220,1104093,1103983,1061760,214797,32227,405214,666195,457,156443,181054,183829,245924,1011176,540565,76.6,539955,88.6,513527,88.9,88552,99.9,446165,63.2,446110,73.2,427028,73.9,75703,86.7,35964,160134,249749,318,35961,160127,249708,314,35943,160066,230722,297,2602,40438,32592,71,48106,10.8,48044,11.3,31418,18.8,21710,28.7,16997,30868,236,5
11/10/2021,45,MS,4261035,196500,1765080,2299455,0,143173,168993,187087,875508,3064187,3063869,2888270,914908,77395,1250406,1734413,1973,102958,121513,126814,187985,3081106,1566549,52.6,1566283,62.1,1469015,64.5,422617,86.8,1376305,46.2,1376221,54.6,1296957,56.9,391476,80.4,76235,545232,754279,559,76221,545221,754220,559,76147,544925,675345,540,16861,199875,174469,271,174296,12.7,174029,13.4,151004,19.6,109816,28.1,74245,98668,1177,206
11/10/2021,45,DE,1771105,79700,702860,988545,0,181882,210894,229956,937559,1349096,1348087,1264441,429547,52917,516577,777978,1624,138544,160523,164172,227387,1322558,682850,70.1,681853,81.2,639562,83,195234,99.9,589049,60.5,588995,70.1,552910,71.8,170747,90.4,51951,214249,322325,524,51942,214238,322291,524,51895,214125,286373,517,9442,70115,90908,282,87845,14.9,87773,15.9,77059,23.7,60172,35.2,31260,55954,627,4
11/10/2021,45,MD,11466540,521500,4201740,6743300,0,189665,222096,243400,1195180,8826278,8824841,8175437,2120142,316535,3261853,5234644,13246,145993,170928,173540,220987,8888131,4447667,73.6,4445803,86.1,4103384,87.1,948099,98.8,4018160,66.5,4017928,77.8,3715891,78.9,872679,91,302392,1421267,2291041,3460,302353,1421228,2290890,3457,302177,1420774,1989628,3312,53112,417075,401509,983,628557,15.6,627806,16.9,496112,26.2,345399,39.6,243555,375584,9295,123
11/10/2021,45,CT,6453635,301800,2560340,3591495,0,181013,207783,227413,1023990,5592294,5582646,5182189,1503040,216767,2054435,3319936,1156,156854,179741,182610,238485,5599820,2864703,80.3,2855776,91.9,2643935,93.2,676577,99.9,2537914,71.2,2537349,81.7,2353177,82.9,590392,93.7,212948,898975,1425580,411,212867,898687,1425387,408,212769,898490,1241610,308,21087,232347,336868,90,370757,14.6,370511,15.7,317202,25.1,238185,40.3,129122,238593,3030,12
11/10/2021,45,CA,66034425,3154800,24755860,38123765,0,167124,196261,215675,1131090,55861390,55656615,51576571,12608027,1988020,21033079,32825650,14641,141377,165417,168454,215961,55920184,29895805,75.7,29740444,88.4,27498391,89.8,6149789,99.9,24475803,61.9,24426707,72.6,22586199,73.8,4895674,83.9,1941814,8828256,13701518,4215,1941437,8827822,13653242,4206,1934226,8802732,11845313,3928,192152,2459629,2242585,1308,3110515,12.7,3107345,13.8,2377586,22.3,1652357,33.8,1129126,1944389,36763,237
11/10/2021,45,NY,33472255,1581700,12435780,19454775,0,172062,199558,216996,1015500,28221988,28205644,26416489,6562328,1202170,10335994,16672807,11017,145074,168159,171255,199091,28203503,14642865,75.3,14626659,87.2,13674641,88.7,3174716,96.3,13101512,67.3,13100612,78.1,12261546,79.5,2834130,86,1135713,4636379,7326554,2866,1135565,4636156,7326040,2851,1134888,4634352,6489637,2669,176660,1338560,1317697,1213,1072835,8.2,1071684,8.7,881723,14.4,623296,22,353320,708236,11258,21
11/10/2021,45,NC,16875440,809800,6518560,9547080,0,160901,187807,206116,963708,12767416,12733779,11965312,3604532,440974,4713441,7612178,823,121733,141714,146144,205845,12648450,6921664,66,6893772,76.7,6476657,79.1,1861461,99.9,5590172,53.3,5585092,62.2,5243100,64,1444737,82.5,428457,2013655,3147948,112,428438,2013597,3142945,112,427062,2010754,2805175,109,48494,693463,702731,49,514440,9.2,514045,9.8,409230,14.3,287280,19.9,173628,335208,5597,7
11/10/2021,45,ME,2495050,137200,1015080,1342770,0,185614,210564,227781,874643,2058523,2056304,1939436,665252,125031,827500,1104237,1755,153140,173537,177058,233205,2067256,1049241,78.1,1047047,88.4,986343,90,302510,99.9,957287,71.2,957248,80.8,902302,82.4,272835,95.6,121727,360650,474521,389,121707,360643,474509,389,121652,360588,419707,355,23394,124096,125164,181,164445,17.2,164351,18.2,141495,26.7,107485,39.4,61085,101406,1807,147
11/10/2021,45,UT,4646560,211300,1675500,2759760,0,144935,179248,204265,1270000,3834548,3833515,3481321,794922,156108,1384348,2293804,288,119607,147883,153040,217268,3799358,1984656,61.9,1983918,76.5,1796582,79,357182,97.6,1744954,54.4,1744612,67.3,1584240,69.6,319881,87.4,151950,607531,985464,9,151915,607496,985192,9,151774,607135,825322,9,15925,136208,167747,1,204534,11.7,204058,12.9,160217,24,119692,37.4,53361,149385,1787,1
